Date,open,high,low,close,volume,market_cap,year_week
2017-07-04,2554.57375026,2643.24495733,2554.57375026,2607.35263993,75894.16920087,197882862.42150483,2017-week(27)
2017-07-05,2603.17141841,2630.12355721,2543.09588207,2614.74636843,90748.76353612,237284999.89554423,2017-week(27)
2017-07-06,2613.7413443,2617.33288403,2576.60567832,2599.09849108,66178.92864916,172005553.5930402,2017-week(27)
2017-07-07,2556.67819896,2578.640653776667,2490.4128873333334,2524.47736228,54482.55873408666,137453468.21713102,2017-week(27)
2017-07-10,2507.44581001,2522.6197335,2280.38699435,2348.37679596,110474.14079905,259434908.80647868,2017-week(28)
2017-07-11,2337.2639902,2400.08985355,2256.45044685,2323.66163115,125280.33219402,291109101.05693334,2017-week(28)
2017-07-12,2316.19388455,2415.43626206,2252.44812014,2399.19238371,94947.62125713,227797609.7714817,2017-week(28)
2017-07-13,2397.70831714,2429.55116636,2329.24694466,2353.72968273,73837.90295505,173794463.8959904,2017-week(28)
2017-07-14,2192.505341176667,2218.3200761166668,1999.8906768633333,2052.3990074633334,136027.44634237667,275853164.4989628,2017-week(28)
2017-07-17,1931.6271457,2229.19166494,1931.6271457,2225.78378744,149154.03177285,331984625.751091,2017-week(29)
2017-07-18,2232.06582687,2393.79745083,2164.71012889,2312.97087442,169601.08846015,392282377.87803066,2017-week(29)
2017-07-19,2317.23230896,2406.08810171,2244.85902219,2278.52296429,132309.83959699,301471007.9235228,2017-week(29)
2017-07-20,2276.01373542,2918.47318715,2276.01373542,2815.0857012,268121.9913526,754786384.0347418,2017-week(29)
2017-07-21,2786.6536155766667,2860.84474231,2652.854727486667,2752.8404779566667,123613.31551679666,338468718.424814,2017-week(29)
2017-07-24,2751.7311283,2795.89896726,2715.57402681,2762.36084609,72257.90809551,199602416.1433392,2017-week(30)
2017-07-25,2762.85095412,2778.36035931,2469.11065168,2575.81861467,159073.98876988,409745741.3824927,2017-week(30)
2017-07-26,2578.00045255,2623.3597785,2442.46253326,2543.68118053,113294.42636235,288184900.1971348,2017-week(30)
2017-07-27,2551.47896631,2695.76624021,2540.38445995,2672.72562912,88044.63299387,235319147.1091205,2017-week(30)
2017-07-28,2736.43988376,2801.2734483833333,2664.2855397866665,2767.0918991333333,84974.77525354332,235697023.89495483,2017-week(30)
2017-07-31,2759.70146396,2895.37836241,2711.32680885,2873.15583692,80430.01253529,231087959.97893307,2017-week(31)
2017-08-01,2871.65747425,2926.47661295,2669.19762396,2874.39311675,121493.73559694,349220757.32784736,2017-week(31)
2017-08-02,2874.29607349,2912.07213648,2665.64970559,2709.04912374,69583.83639322,188506031.00723225,2017-week(31)
2017-08-03,2714.95508933,2814.99815532,2713.85143684,2802.47069389,61175.55966092,171442713.13213918,2017-week(31)
2017-08-04,2978.2008999766663,3168.1582462066667,2939.500773213333,3120.8913576233335,83686.65030094668,264390441.8179457,2017-week(31)
2017-08-07,3232.33391484,3415.08062226,3202.27531377,3390.06417433,78498.11427529,266113644.95738363,2017-week(32)
2017-08-08,3397.34664066,3487.96693267,3356.04970762,3425.44442996,100523.62998367,344338108.407265,2017-week(32)
2017-08-09,3425.84430164,3432.35681012,3250.84540344,3350.70367836,88259.54757924,295731590.72405887,2017-week(32)
2017-08-10,3353.62430857,3454.62502123,3327.72723892,3425.64599,63617.5984465,217931371.011907,2017-week(32)
2017-08-11,3652.146894716667,3942.7684489700005,3629.01872615,3865.1810560233334,111435.69419214333,434021327.943602,2017-week(32)
2017-08-14,4075.78603474,4325.58690259,3992.9841336,4325.58690259,115494.53930707,499581666.5468191,2017-week(33)
2017-08-15,4327.35175219,4428.93443244,3853.42976403,4157.320889,184652.98560743,767661714.2811795,2017-week(33)
2017-08-16,4162.93524919,4391.22746419,3948.83743137,4390.52626728,91910.2847644,403534519.4916918,2017-week(33)
2017-08-17,4386.69392269,4485.53970919,4232.82127204,4288.77657159,113556.58193688,487018808.16016906,2017-week(33)
2017-08-18,4181.305220926667,4239.6377492500005,4006.543227523334,4113.879184303333,96124.9074486,396146025.9289401,2017-week(33)
2017-08-21,4069.30065203,4097.41963705,3982.68321336,4003.38544363,88226.69023442,353205447.4237607,2017-week(34)
2017-08-22,4013.04904257,4013.04904257,3624.79442784,3971.12284001,144706.22882327,574646210.3711494,2017-week(34)
2017-08-23,4098.9570758,4258.20444997,4081.12155255,4143.12669155,84791.51038895,351301969.9095551,2017-week(34)
2017-08-24,4149.36813223,4366.93351389,4118.32707734,4340.44460043,72579.08836128,315025512.18162376,2017-week(34)
2017-08-25,4354.145697706666,4420.65312599,4303.4530431466665,4358.564934323334,52436.601553880006,228713367.34893242,2017-week(34)
2017-08-28,4347.79040901,4402.47817928,4208.00522543,4387.75935103,68116.12934714,298877183.49871933,2017-week(35)
2017-08-29,4393.77297916,4639.05456663,4355.34494255,4601.7513755,92126.64990987,423943937.94301325,2017-week(35)
2017-08-30,4594.01579023,4641.73504473,4503.38826069,4590.01701675,63013.17174738,289231530.59971285,2017-week(35)
2017-08-31,4581.35430126,4765.29078654,4581.35430126,4736.96532709,66177.14602122,313478846.1483319,2017-week(35)
2017-09-01,4750.543419353334,4873.251583326667,4530.424669923334,4706.71017974,104062.47506768334,488221348.94266486,2017-week(35)
2017-09-04,4616.30412255,4620.69728339,4121.11925638,4268.64267295,150334.70897299,641725153.947907,2017-week(36)
2017-09-05,4289.00893363,4498.11315749,4046.69335105,4415.98387419,140821.77575634,621866690.874597,2017-week(36)
2017-09-06,4411.75985166,4658.81302024,4408.9002486,4630.82004287,106013.26550135,490928354.6937262,2017-week(36)
2017-09-07,4622.66090655,4689.77776545,4504.22125126,4638.53781589,63211.78550896,293210257.49347806,2017-week(36)
2017-09-08,4436.204233623334,4481.001439216667,4136.611996466667,4307.660772533333,108577.51857180666,467743589.1013095,2017-week(36)
2017-09-11,4251.02723532,4375.5139673,4140.59899845,4214.14905164,79861.09091619,336546540.54747635,2017-week(37)
2017-09-12,4218.92572601,4386.53454058,4095.87046557,4169.54764029,95958.54170042,400103711.112392,2017-week(37)
2017-09-13,4169.41724084,4169.41724084,3769.61130103,3881.36539919,172944.19218285,671259603.5297618,2017-week(37)
2017-09-14,3869.57319558,3931.11131983,3235.70274186,3235.70274186,273808.39541504,885962575.7878338,2017-week(37)
2017-09-15,3554.302819913333,3838.03359117,3360.8346636,3708.50290963,204288.12015593002,757998441.7780437,2017-week(37)
2017-09-18,3696.49082028,4115.84292827,3696.49082028,4090.98563091,125306.69239952,512627878.063401,2017-week(38)
2017-09-19,4104.55621767,4120.40670143,3861.80115374,3930.52858327,105239.40128089,413646474.8205774,2017-week(38)
2017-09-20,3913.4833487,4050.39828417,3853.36016086,3886.65447429,75648.83131551,294020868.70727056,2017-week(38)
2017-09-21,3889.05350391,3915.36322084,3600.22058189,3626.11063027,121411.45619932,440251371.9602957,2017-week(38)
2017-09-22,3681.312429496667,3792.94326058,3587.084479036667,3702.738602426667,67361.36438360666,248389649.89489916,2017-week(38)
2017-09-25,3681.41799599,3971.92994617,3681.41799599,3939.55912619,88067.34880171,346946527.69082487,2017-week(39)
2017-09-26,3939.08966218,3983.67960034,3868.59194908,3905.45701815,55634.8071058,217279347.8645092,2017-week(39)
2017-09-27,3900.72688668,4237.44610512,3894.57488255,4213.81089181,105078.70760009,442781802.582546,2017-week(39)
2017-09-28,4218.71891273,4278.69127369,4139.54260056,4201.75325665,80104.29882799,336578498.472275,2017-week(39)
2017-09-29,4247.666759606666,4344.249911796666,4161.673588573333,4315.412921903334,66372.46022493001,285143070.87980586,2017-week(39)
2017-10-02,4407.17932542,4480.13903908,4376.3793491,4412.84001392,65201.91655394,287725626.3532695,2017-week(40)
2017-10-03,4411.13150314,4442.62242081,4248.58353156,4321.6168829,76005.25922042,328465611.4358766,2017-week(40)
2017-10-04,4322.61051668,4357.43830962,4205.01888522,4227.03470057,61917.84655967,261728885.99217147,2017-week(40)
2017-10-05,4231.2843868,4373.62387148,4159.31495502,4329.94601497,59476.77630937,257531230.5638705,2017-week(40)
2017-10-06,4383.029960426667,4505.767357156667,4358.617769446667,4480.199224020001,56011.279962663335,251315260.2985824,2017-week(40)
2017-10-09,4612.20241657,4874.39755817,4563.94780054,4781.41090941,101221.51385868,483981650.63072586,2017-week(41)
